No ;Provinsi;Timbulan Sampah Tahunan(ton);Timbulan Sampah Harian(ton);PRDB;Daur Ulang sampah Tahunan (Ton/Tahun);Bahan Baku sampah Tahunan (Ton/Tahun)
1;Aceh;251097.01;687.94;39156010;15730.58;20.44
2;Bali;525962.04;1441;55544660;95205.02;1800.36
3;Banten;1256079.65;3441.31;60990140;12007.26;0
4;Bengkulu;38417.16;105.25;43741710;0;0
5;D.I Yogjakarta;472827.88;1295.42;44044640;41462.59;146
6;Gorontalo;51646.51;141.5;298359970;11231.41;365
7;Jambi;231663.81;646.13;39886780;23568.26;7585.57
8;Jawa Barat;1322647.07;3623.69;76096400;199641.22;35475.96
9;Jawa Tengah;4185487.25;11467.09;49038410;481179.78;164543.29
10;Jawa Timur;1770017.62;4849.38;42149540;305493.7;15908.76
11;Kalimantan Barat;285287.29;781.62;66364730;2631.24;0
14;Kalimantan Selatan;669151.48;1990.59;46161330;48880.16;7192.85
13;Kalimantan Tengah;144180.66;395.02;60079320;1079.82;919.62
12;Kalimantan Timur;524485.46;1360.16;72945070;71352.78;10416.88
15;Kalimantan Utara;20754.7;56.87;238700720;1502.6;2222.01
16;Kepulauan Bangka Belitung;75788.31;207.64;190611100;8237.95;10.95
17;Kepulauan Riau;501153.4;1373.03;63752240;54474.7;3103.34
18;Lampung;269986.59;739.69;141682650;8033.57;9701.17
19;Maluku;11355.3;31.11;45129340;0;0
34;Maluku Utara;68918.97;188.82;28533850;188.82;188.82
32;Nusa Tenggara Barat;37446.08;102.59;53741050;102.59;102.59
31;Nusa Tenggara Timur;82019.51;224.71;28672540;224.71;224.71
20;Papua Barat;16779.78;163.36;21718260;0;0
21;Papua Barat Daya;79528.32;49.76;59411790;885.99;0
22;Papua Selatan;6109.95;45.55;77149680;0;0
23;Riau;883812.77;2421.41;149914130;90747.05;874.14
26;Sulawesi Barat;128983.81;266.84;37070310;2175.94;0
24;Sulawesi Selatan;661745.17;1792.38;65593030;79885.66;1686.76
27;Sulawesi Tengah;164230.91;384.56;105545360;2818.16;10.95
33;Sulawesi Tenggara ;96542.67;264.5;58764270;264.5;264.5
25;Sulawesi Utara;379778.34;612.65;59043360;4494.37;203.31
30;Sumatera Barat;1423177.36;2153.24;50593410;82961.94;931.24
28;Sumatera Selatan;1028553.95;2429.13;68338100;66610.32;32.94
29;Sumatera Utara;474570.68;3218.67;63194180;63220.23;815.05
37;DKI Jakarta;493171.77;7158.63;0;357057.5;844.44
